Experiment,Fold,Model,Train_Size,Test_Size,Precision,Recall,F1_Score,Evaluated_Entries
1,1,gpt-4o-mini,43,15,0.782608695652174,0.9,0.8372093023255814,15
1,2,gpt-4o-mini,43,15,0.6538461538461539,0.7727272727272727,0.7083333333333334,15
1,3,gpt-4o-mini,44,14,0.6086956521739131,0.7368421052631579,0.6666666666666666,14
1,4,gpt-4o-mini,44,14,0.53125,0.7727272727272727,0.6296296296296297,14
2,1,gpt-4o-mini,43,15,0.7916666666666666,0.8260869565217391,0.8085106382978723,15
2,2,gpt-4o-mini,43,15,0.6071428571428571,0.7727272727272727,0.68,15
2,3,gpt-4o-mini,44,14,0.5833333333333334,0.7368421052631579,0.6511627906976745,14
2,4,gpt-4o-mini,44,14,0.625,0.7894736842105263,0.6976744186046512,14
3,1,gpt-4o-mini,43,15,0.5555555555555556,0.8333333333333334,0.6666666666666666,15
3,2,gpt-4o-mini,43,15,0.6538461538461539,0.8947368421052632,0.7555555555555555,15
3,3,gpt-4o-mini,44,14,0.75,0.9,0.8181818181818182,14
3,4,gpt-4o-mini,44,14,0.7241379310344828,0.8076923076923077,0.7636363636363637,14
